t (min),ctrl diff,mtaxc diff,mtbxc diff,both diff,,t (min),ctrl same,mtaxc same,mtbxc same,both same,,t (for mta),conc. 0,conc. 3,conc. 30,conc. 300,,t (for mtb),conc. 0,conc. 3,conc. 30,conc. 300
0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
15,0,0,0,0,,15,0,0,0,0,,15,0,0,0,0,,15,0,0,0,0
30,0,0,0,0,,30,0,0,0,0,,30,0,0,0,0,,30,0,0,0,0
45,0,0.006434316,0.006434316,0.028954424,,45,0.014501511,0,0,0,,45,0.022360248,0.046583851,0.068944099,0.046583851,,45,0.068944099,0.10621118,0.108074534,0.11552795
60,0.271849866,0.376407507,0.398927614,0.524396783,,60,0.367975831,0.203021148,0.179456193,0.110574018,,60,0.07826087,0.147204969,0.162111801,0.147204969,,60,0.268322981,0.279503106,0.344720497,0.275776398
75,0.542091153,0.625737265,0.645040214,0.682037534,,75,0.699697885,0.554682779,0.576435045,0.442296073,,75,0.288819876,0.380124224,0.430434783,0.417391304,,75,0.395031056,0.497515528,0.516149068,0.514285714
90,0.579088472,0.664343164,0.649865952,0.67077748,,90,0.72326284,0.580060423,0.567371601,0.532930514,,90,0.588819876,0.659627329,0.702484472,0.614906832,,90,0.488198758,0.559006211,0.616770186,0.603726708
105,0.612868633,0.680428954,0.673994638,0.704557641,,105,0.746827795,0.581873112,0.570996979,0.503927492,,105,0.577639752,0.689440994,0.680124224,0.659627329,,105,0.562732919,0.596273292,0.655900621,0.642857143
120,0.633780161,0.675603217,0.693297587,0.696514745,,120,0.745015106,0.647129909,0.554682779,0.574622356,,120,0.61863354,0.71552795,0.683850932,0.672670807,,120,0.596273292,0.607453416,0.663354037,0.685714286
,,,,,,240,0.837462236,0.837462236,0.817522659,0.868277946,,,,,,,,,,,,
